src:START_ID	dst:END_ID	type:TYPE	verb
209	241	REL	`extracts expressed`
242	241	REL	`extracts expressed`
209	156	REL	`indicating; enhanced`
209	210	REL	`extracts expressed`
156	210	REL	`extracts expressed`
14	243	REL	`has been shown to have; activating`
1	18	REL	`is conserved; upregulated`
46	244	REL	`were found; showed`
15	18	REL	`regulated; facilitating`
17	18	REL	`regulated; facilitating`
1	18	REL	`regulated; facilitating`
1	27	REL	`was involved; do not express`
42	18	REL	`were found; showed`
26	44	REL	`noticed; upregulated`
26	25	REL	`noticed; upregulated`
26	45	REL	`noticed; upregulated`
45	44	REL	`noticed; upregulated`
45	25	REL	`noticed; upregulated`
0	46	REL	`were found; showed`
1	46	REL	`were found; showed`
50	245	REL	`can generate; regulating`
246	247	REL	`were expressed; compared`
94	247	REL	`were expressed; compared`
248	247	REL	`were expressed; compared`
246	249	REL	`were expressed; compared`
94	249	REL	`were expressed; compared`
248	249	REL	`were expressed; compared`
52	250	REL	`were found; compared`
52	75	REL	`were found; compared`
52	249	REL	`were found; compared`
52	69	REL	`were found; compared`
54	250	REL	`were found; compared`
54	75	REL	`were found; compared`
54	249	REL	`were found; compared`
54	69	REL	`were found; compared`
78	250	REL	`were found; compared`
78	75	REL	`were found; compared`
78	249	REL	`were found; compared`
78	69	REL	`were found; compared`
79	250	REL	`were found; compared`
79	75	REL	`were found; compared`
79	249	REL	`were found; compared`
79	69	REL	`were found; compared`
53	250	REL	`were found; compared`
53	75	REL	`were found; compared`
53	249	REL	`were found; compared`
53	69	REL	`were found; compared`
50	88	REL	`enhanced; showing`
72	88	REL	`enhanced; showing`
0	45	REL	`should be paid; are found`
0	44	REL	`should be paid; are found`
0	25	REL	`should be paid; are found`
45	44	REL	`should be paid; are found`
45	25	REL	`should be paid; are found`
45	0	REL	`should be paid; are found`
26	45	REL	`should be paid; are found`
26	44	REL	`should be paid; are found`
26	25	REL	`should be paid; are found`
26	0	REL	`should be paid; are found`
251	80	REL	`signaling; induce`
20	80	REL	`signaling; induce`
252	1	REL	`increased; describe`
25	1	REL	`increased; describe`
253	1	REL	`increased; describe`
1	52	REL	`shown to stimulate`
126	130	REL	`may be influenced; found to be`
122	130	REL	`may be influenced; found to be`
147	254	REL	`was found; treated`
147	255	REL	`was found; treated`
36	1	REL	`produced; seen`
155	1	REL	`produced; seen`
155	36	REL	`produced; seen`
1	36	REL	`produced; seen`
157	1	REL	`were increased; compared`
157	36	REL	`were increased; compared`
157	158	REL	`were increased; compared`
165	36	REL	`decreased; compared`
165	1	REL	`decreased; compared`
166	256	REL	`increased; Figure`
170	36	REL	`were found; compared`
171	36	REL	`were found; compared`
172	36	REL	`increased; compared`
257	187	REL	`revealed; compared`
258	259	REL	`was found to be; favored`
260	260	REL	`has been found to vary`
236	261	REL	`increased; limiting`
208	207	REL	`can occur; may be found`
262	207	REL	`can occur; may be found`
263	264	REL	`are known to be; was produced`
